formattedAddress,addressLine1,city,state,zipCode,price,lastSeen,createdDate,rawAddress,county,propertyType,listedDate,status,removedDate,daysOnMarket,id,latitude,longitude,bathrooms,bedrooms,addressLine2,squareFootage,yearBuilt,lotSize
"801 E Drexel Sq, Chicago, IL 60615",801 E Drexel Sq,Chicago,IL,60615,805,2022-11-16T03:37:09.010Z,2019-10-26T06:38:44.225Z,,Cook County,Apartment,2022-10-20T01:02:13.000Z,Active,,28,"801-E-Drexel-Sq,-Chicago,-IL-60615",41.801237,-87.606181,1,0,,,,
"4917 S Prairie Ave, Apt 2, Chicago, IL 60615",4917 S Prairie Ave,Chicago,IL,60615,1900,2022-11-11T03:28:00.974Z,2022-10-21T02:10:53.335Z,,Cook County,Apartment,2022-10-20T18:04:42.000Z,Active,,22,"4917-S-Prairie-Ave,-Apt-2,-Chicago,-IL-60615",41.800392,-87.603826,2,3,Apt 2,,,
"5220 S Drexel Ave, Apt 400, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1350,2022-11-08T03:30:29.715Z,2022-04-09T02:43:07.779Z,,Cook County,Apartment,2022-10-24T08:56:27.000Z,Inactive,2022-11-15T03:49:34.653Z,22,"5220-S-Drexel-Ave,-Apt-400,-Chicago,-IL-60615",41.799716,-87.60455,1,1,Apt 400,550,,
"836 E 52nd St, Chicago, IL 60615",836 E 52nd St,Chicago,IL,60615,4300,2022-11-01T03:27:49.097Z,2022-10-22T02:32:31.048Z,,Cook County,Single Family,2022-10-21T02:12:55.000Z,Inactive,2022-11-08T03:47:01.350Z,19,"836-E-52nd-St,-Chicago,-IL-60615",41.800711,-87.60485,3,4,,4304,1905,6000
"5220 S Drexel Ave, Apt 103, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1240,2022-10-22T03:27:28.926Z,2022-10-11T01:03:32.016Z,,Cook County,Apartment,2022-10-12T09:19:33.000Z,Inactive,2022-10-29T03:44:38.672Z,17,"5220-S-Drexel-Ave,-Apt-103,-Chicago,-IL-60615",41.799716,-87.60455,1,1,Apt 103,,,
"5222 S Drexel Ave, Unit 281, Chicago, IL 60615",5222 S Drexel Ave,Chicago,IL,60615,1485,2022-09-28T01:03:31.759Z,2022-08-20T03:17:23.986Z,,Cook County,Apartment,2022-09-27T22:02:29.000Z,Inactive,2022-10-05T03:40:35.197Z,8,"5222-S-Drexel-Ave,-Unit-281,-Chicago,-IL-60615",41.799455,-87.604577,1,1,Unit 281,,,
"5222 S Drexel Ave, Unit 38GE, Chicago, IL 60615",5222 S Drexel Ave,Chicago,IL,60615,1750,2022-09-18T03:23:08.169Z,2022-09-18T03:23:08.169Z,,Cook County,Apartment,2022-07-28T21:10:47.000Z,Inactive,2022-09-25T03:29:40.196Z,59,"5222-S-Drexel-Ave,-Unit-38GE,-Chicago,-IL-60615",41.799455,-87.604577,1,2,Unit 38GE,,,
"5220 S Drexel Ave, Chicago, IL 60615",5220 S Drexel Ave,Chicago,IL,60615,1095,2022-09-08T03:25:43.387Z,2019-11-02T07:18:31.861Z,,Cook County,Apartment,2021-09-16T23:39:33.000Z,Inactive,2022-09-15T03:28:22.874Z,364,"5220-S-Drexel-Ave,-Chicago,-IL-60615",41.79971,-87.60461,1,1,,,1926,
"4950 S King Dr, Chicago, IL 60615",4950 S King Dr,Chicago,IL,60615,1625,2022-09-08T03:24:09.354Z,2021-07-02T02:11:17.794Z,,Cook County,Apartment,2021-12-17T00:16:30.000Z,Inactive,2022-09-15T03:28:22.874Z,273,"4950-S-King-Dr,-Chicago,-IL-60615",41.800392,-87.603826,1,2,,,,
"822 E 52nd St, Chicago, IL 60615",822 E 52nd St,Chicago,IL,60615,1000,2022-09-08T03:23:29.839Z,2020-01-07T18:51:47.937Z,,Cook County,Apartment,2022-04-21T00:00:41.000Z,Inactive,2022-09-15T03:28:22.874Z,148,"822-E-52nd-St,-Chicago,-IL-60615",41.800704,-87.605354,1,1,,,,
